GB%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,SwStr%,F-Strike%,K%,BB%,Pitches,IP
53.4,33.4,61.9,62.6,87.2,48.9,10.2,65.6,23.1,4.4,1885,138
48.0,33.3,69.1,60.6,85.1,39.9,12.0,64.1,23.7,4.7,3239,222.2
49.4,34.4,67.6,49.0,80.3,51.5,15.3,69.7,31.6,2.0,2062,149
44.5,38.3,69.2,58.6,80.2,44.4,14.9,67.2,31.2,5.5,2465,168
47.7,30.7,60.5,66.9,86.7,42.0,9.3,59.9,23.1,8.7,1629,108.1
56.2,34.2,63.0,61.3,86.7,44.1,11.1,60.2,27.1,5.5,3438,229
51.8,36.5,68.6,55.6,82.2,49.7,14.2,68.8,31.9,4.1,2722,198.1
46.0,32.5,65.8,60.9,84.7,47.6,11.4,65.1,25.6,5.7,3428,236
49.0,19.6,67.6,44.3,85.3,55.2,10.3,60.4,22.1,7.4,3203,211.1
46.6,27.4,72.5,40.5,80.1,52.2,15.3,60.5,24.2,6.3,1578,105
45.3,36.5,62.9,53.8,76.5,44.6,15.9,68.6,38.7,5.8,2292,146
30.0,30.4,69.7,48.7,79.2,47.9,15.0,56.5,30.4,10.3,2457,148
43.8,32.3,65.7,53.1,81.7,38.9,13.9,55.5,29.4,9.4,2246,139
36.3,36.0,70.5,53.0,78.1,47.5,16.2,67.9,34.5,6.0,2764,174.2
45.3,25.8,57.9,66.8,78.7,52.6,10.6,60.6,29.4,7.5,1819,110.1
50.0,34.5,68.7,51.3,78.2,48.9,15.9,68.2,33.8,4.7,3392,232.2
48.4,31.8,59.5,63.2,87.2,40.2,10.0,68.6,22.8,5.9,2888,190
56.2,34.8,60.9,57.2,86.4,43.0,12.0,64.7,27.2,5.0,3434,236
55.7,27.0,64.5,35.1,76.0,54.2,16.4,60.5,30.4,6.8,1798,121
40.0,26.7,64.4,55.6,87.5,47.5,10.0,62.4,26.5,5.6,3477,229.1
33.5,35.5,66.2,61.5,79.8,47.1,13.5,64.5,25.5,4.9,1577,108.1
40.7,34.3,64.5,61.3,80.5,46.0,12.9,67.0,30.4,5.7,2753,174
45.1,30.5,62.6,59.3,87.2,47.8,10.2,61.5,27.5,8.5,2609,172.2
41.2,23.8,69.2,43.6,78.8,53.3,14.1,60.4,27.5,6.3,2831,186.2
44.2,31.5,63.1,51.2,84.5,41.8,13.0,63.8,31.5,8.2,2708,166
50.5,33.0,64.9,62.1,83.2,44.2,11.8,71.6,25.4,7.0,2449,161
55.0,27.2,63.9,51.9,90.3,52.2,9.4,61.7,19.2,5.1,2670,192.2
46.2,34.7,67.2,70.4,86.1,39.9,9.9,62.9,25.2,6.8,3659,243.2
44.5,35.6,63.7,44.9,82.4,47.8,15.6,64.4,34.1,4.6,2945,203.2
42.2,21.7,69.2,43.0,77.2,56.4,14.3,63.3,30.4,5.1,3096,199.1
47.7,35.8,66.2,58.9,84.5,46.8,12.6,64.4,27.7,4.5,2697,178.1
53.9,31.6,62.6,59.5,88.5,47.9,10.0,61.1,23.2,7.0,3731,249.2
42.3,24.7,71.1,53.9,79.6,53.2,13.0,60.7,24.9,7.6,2683,166.1
43.2,32.1,66.0,59.1,86.1,47.3,11.2,64.1,27.2,5.9,3469,233.1
49.0,30.2,64.6,56.1,86.8,47.2,11.0,59.0,22.6,6.4,1823,113.1
45.7,31.3,66.4,59.8,83.0,46.4,12.0,64.7,25.0,6.5,2988,183.2
53.7,31.6,68.9,72.3,90.1,41.1,8.0,55.6,16.5,7.5,2394,156
47.9,32.3,70.6,51.1,82.4,49.5,14.1,69.4,29.8,4.4,2521,175
46.6,24.6,68.7,27.5,78.2,54.3,16.3,62.1,32.3,6.9,3993,260
50.8,29.1,67.4,69.2,85.0,43.6,9.4,58.8,16.9,9.4,2810,173.2
37.0,26.7,74.4,47.6,82.9,55.2,13.3,64.7,25.4,5.6,3099,207.2
50.9,34.7,66.5,62.7,86.9,46.5,10.9,65.8,23.6,3.8,3468,233.2
46.3,32.2,63.3,66.7,89.4,45.1,8.9,60.7,19.9,5.6,3258,227
50.2,24.9,67.1,45.4,87.4,54.5,10.8,62.7,19.5,4.7,3191,222.1
62.5,22.5,65.1,38.9,87.6,54.0,10.7,63.1,21.6,6.5,3102,211
46.3,30.5,61.2,68.0,85.1,54.6,9.4,64.9,25.9,4.6,3403,232.2
49.7,33.1,72.0,60.1,87.0,46.7,11.4,70.4,24.9,4.3,1716,116.1
40.2,33.2,65.8,67.5,85.2,41.6,10.4,61.4,25.8,5.9,3941,251
32.5,30.7,62.9,71.1,84.8,43.8,9.2,64.7,21.4,6.1,3746,235.2
60.9,21.5,68.9,49.7,86.8,58.7,9.8,64.9,19.5,3.3,1911,141.2
48.9,34.8,59.3,79.9,91.4,46.6,6.1,65.0,14.8,3.6,2468,164
51.6,29.6,60.2,60.0,88.0,47.2,9.6,61.4,23.4,6.2,3356,230.1
41.0,26.1,68.5,38.9,85.3,52.7,12.8,64.8,28.4,5.8,3399,211.1
61.2,30.3,67.2,62.2,89.8,48.1,9.2,58.8,19.0,5.9,1857,129.2
51.2,33.1,65.6,64.6,87.6,48.4,9.9,67.3,22.1,3.0,3568,250.2
46.9,30.9,68.1,62.5,87.3,42.4,10.3,62.9,24.8,6.5,3161,202.2
48.0,35.1,61.8,55.1,87.8,44.8,12.0,64.0,28.3,5.4,3500,235.2
40.4,33.9,68.6,66.7,81.7,48.8,11.9,67.0,25.3,5.3,3388,220.1
42.4,32.2,65.7,66.1,86.7,43.1,10.0,61.4,24.9,5.4,3493,219.2
46.4,33.9,70.1,61.5,84.5,44.0,12.1,61.5,23.9,7.1,3136,204.2
47.5,26.1,61.8,48.8,86.2,49.3,10.9,56.7,28.8,7.5,3439,225.1
61.7,33.3,62.2,62.3,89.3,37.6,10.3,61.3,23.7,5.6,3492,232
53.4,27.2,66.5,51.7,87.7,48.4,10.8,58.1,22.2,7.3,3632,238.2
36.5,35.0,68.7,51.9,79.5,48.1,15.5,64.6,34.4,7.1,3111,200.2
46.8,33.4,65.4,53.0,84.4,49.6,13.0,63.5,29.1,6.7,2742,175.1
58.4,30.9,63.6,56.6,85.5,42.5,11.6,55.8,22.2,9.2,1513,100
41.4,15.6,71.3,56.5,83.2,55.7,9.7,58.7,18.5,6.1,1569,103.1
49.2,33.0,61.6,62.1,87.5,43.6,10.4,59.5,27.2,6.7,2416,156.2
46.9,30.4,65.2,59.8,84.9,46.0,11.1,64.5,25.4,7.0,3469,227.2
35.8,28.7,66.9,75.2,88.7,47.8,7.3,59.1,18.7,8.8,2429,149.1
42.2,26.4,70.5,49.0,83.7,51.1,12.4,55.6,23.5,8.4,1961,128
41.2,26.5,69.2,59.7,82.6,54.5,11.4,63.8,21.4,6.5,3598,234.1
44.0,28.6,64.8,52.5,86.6,51.4,11.0,59.9,26.7,7.6,3610,223.1
45.9,29.9,64.9,70.6,88.3,56.0,8.1,66.6,19.1,3.8,3289,223.1
41.4,22.7,58.9,65.6,88.6,54.1,7.2,61.2,17.1,6.1,2049,141.2
44.4,35.9,70.9,61.0,84.3,45.2,12.7,67.8,27.3,5.1,2976,191
52.5,35.5,69.1,55.4,84.9,44.2,13.4,62.8,26.5,5.5,1956,134
35.3,18.1,65.9,48.3,87.3,54.5,8.7,57.5,14.7,11.1,2164,134
48.3,31.8,65.2,72.1,89.2,47.0,8.0,63.4,18.4,5.7,1797,123.1
53.1,26.9,63.7,68.1,87.1,46.1,8.4,62.7,24.5,7.1,3332,211
30.3,22.8,61.4,59.4,84.8,52.9,9.3,59.4,21.4,6.7,1932,123
45.4,31.6,64.5,56.0,82.8,45.8,12.6,61.5,27.1,7.2,2974,182
67.0,20.5,66.0,54.2,88.3,56.0,8.5,64.9,14.9,5.6,3076,219.2
42.9,23.1,66.9,64.8,87.3,51.2,8.4,60.5,17.2,8.5,3305,215
48.0,31.1,67.2,59.9,88.8,46.3,10.2,61.5,24.3,5.3,3238,208
51.2,36.5,66.9,53.9,83.4,45.2,14.2,63.8,29.3,5.8,2935,183.2
43.1,31.2,68.4,50.1,79.2,53.1,14.8,63.9,30.1,4.6,3633,245.2
52.0,26.0,60.5,46.8,84.9,50.2,11.4,60.2,28.3,9.4,1711,100.1
39.6,30.0,67.8,73.8,89.1,44.0,7.6,53.4,16.9,8.9,1757,114
40.6,35.1,68.4,58.9,74.3,42.9,15.8,64.1,30.1,6.1,3423,228
50.9,31.6,60.3,54.4,89.8,43.8,10.8,55.5,24.2,7.5,2627,168.2
43.9,26.5,65.3,49.6,84.1,50.0,11.9,57.5,28.6,9.1,3682,227
52.9,30.0,63.1,66.1,91.4,47.7,7.8,57.6,14.6,6.5,1885,130.2
46.3,33.0,65.8,62.2,86.3,44.7,10.9,69.3,27.1,3.8,1739,110
56.1,20.3,68.3,54.2,87.7,60.0,8.7,65.4,14.4,5.5,2679,199.1
50.7,27.0,60.8,53.7,90.8,49.2,9.1,62.8,21.9,6.8,3614,233
44.6,18.0,70.3,50.2,88.9,57.7,8.3,61.4,17.7,5.7,3556,236.1
45.6,31.6,68.6,66.6,84.8,41.0,10.5,58.2,20.6,6.4,2814,177.2
42.3,34.9,68.7,71.4,79.0,42.8,11.9,61.1,25.0,6.3,3768,238.1
53.8,30.0,65.4,72.6,90.5,49.4,7.2,62.3,14.4,4.3,2611,187
41.5,31.1,66.1,80.4,90.0,50.3,6.3,64.9,15.2,3.8,2777,190.1
29.6,33.4,69.0,59.6,79.8,48.0,13.7,67.3,33.5,4.4,2727,169.2
40.1,36.1,68.5,70.1,85.7,48.0,10.3,70.9,22.8,3.6,2924,199.2
48.7,34.6,65.9,63.6,87.8,47.3,10.4,63.4,21.4,4.9,3102,219.2
51.1,29.6,65.1,73.2,91.4,43.2,6.9,55.3,14.9,8.3,1967,124
45.4,31.6,69.3,60.1,84.3,43.8,11.8,62.8,25.5,7.6,2236,140.1
42.6,24.1,69.2,55.9,79.8,55.0,12.5,66.4,28.2,3.4,3580,237
57.9,27.1,68.1,46.9,87.9,50.6,11.3,60.5,16.8,6.3,3494,240
55.9,30.1,61.9,59.1,87.5,45.7,10.1,54.0,19.0,9.2,2609,163.1
46.6,31.7,67.1,53.4,80.3,50.7,14.0,63.9,24.5,5.8,3814,253
45.6,31.0,62.4,75.8,88.8,40.2,7.3,62.2,18.5,8.1,2937,179.2
46.0,32.0,65.4,62.3,82.9,47.7,11.6,68.2,24.9,4.9,2798,189.1
48.7,36.0,63.2,63.0,85.3,41.4,11.6,62.7,25.2,5.2,3210,202.1
43.7,30.2,66.9,68.5,84.6,47.8,9.9,62.6,21.8,9.2,3355,208.2
53.0,36.1,63.8,61.2,86.2,43.1,11.8,66.9,24.6,6.2,2260,152.1
42.6,26.6,63.2,61.1,83.7,44.3,10.3,60.8,28.2,9.4,2393,139
52.7,29.2,67.1,61.1,88.4,46.2,9.7,59.2,20.3,7.1,3078,208
35.8,31.7,69.2,56.2,80.5,46.7,13.7,64.1,34.7,8.0,2664,164.2
46.1,33.1,66.4,68.1,78.9,50.5,12.3,62.2,24.8,5.8,3359,233.2
42.1,28.3,65.8,61.8,83.0,46.7,11.0,58.3,25.4,6.6,2486,154.2
44.8,34.4,66.2,59.4,89.7,43.6,10.8,62.2,24.6,3.4,2529,174.1
47.9,30.9,63.2,61.5,84.3,41.3,11.0,53.7,24.4,9.6,3606,217
39.2,30.3,66.8,65.8,85.0,44.7,10.2,61.2,23.4,7.2,2254,141.1
39.6,32.1,66.7,61.8,84.2,44.7,11.5,65.2,27.5,5.9,3571,226.2
44.3,29.6,66.2,73.3,86.2,43.1,8.4,60.2,20.9,8.3,3450,203.2
34.8,19.2,68.4,47.8,84.6,54.4,10.3,57.5,19.4,8.3,3702,229.1
50.7,21.4,67.3,62.7,83.7,51.4,9.5,55.9,21.2,9.1,3467,209.2
55.8,32.6,60.0,66.4,87.5,44.1,9.4,59.3,23.2,7.8,2221,143.1
45.7,26.7,65.5,65.0,84.3,52.3,9.9,65.1,23.1,6.6,3194,211.2
46.0,32.2,69.1,65.4,88.9,48.5,9.4,70.8,19.5,5.9,3127,218
46.8,31.2,68.7,62.0,85.1,43.2,11.1,60.2,24.8,7.7,3204,201.1
46.6,38.0,66.5,57.1,86.1,40.5,13.4,62.0,26.0,3.9,2009,136.1
40.4,29.9,71.6,50.3,83.1,55.1,13.3,65.4,26.5,5.1,3450,233.2
45.9,29.5,64.0,63.6,86.6,45.8,9.7,62.1,24.5,6.5,2683,171.2
48.9,32.8,67.8,73.0,87.3,41.4,8.7,62.7,19.1,5.5,3449,217
53.7,30.9,67.1,58.3,91.3,51.8,9.2,63.4,20.9,4.0,3560,246
48.4,29.4,63.1,54.4,82.2,44.3,12.5,60.1,29.8,9.5,2286,142.1
50.2,32.4,67.1,69.4,86.9,44.5,9.4,68.6,22.5,5.1,3299,219.2
50.2,30.9,66.2,63.1,87.8,52.0,9.7,67.6,21.6,3.6,3394,239
39.4,22.9,64.0,57.2,84.1,49.8,10.0,55.6,26.4,13.0,3030,171
37.4,31.2,68.1,68.1,86.4,44.6,9.6,62.4,22.0,5.8,3345,219.1
52.3,31.4,64.8,59.8,83.7,47.5,11.6,62.2,22.8,5.2,3132,216
35.8,36.0,73.5,58.0,78.9,50.0,15.3,71.3,30.7,3.8,3359,228.2
50.4,35.3,68.1,71.6,88.8,47.9,8.9,70.4,17.3,4.1,2318,157.1
54.6,24.8,61.6,64.1,93.5,47.5,6.6,55.5,16.0,4.7,1801,112.1
57.0,32.3,62.3,54.6,84.0,40.9,12.7,58.2,24.0,8.9,3119,195.2
39.3,20.1,69.1,52.1,79.3,56.9,12.2,58.6,20.4,7.8,2453,163.1
45.3,29.6,68.6,60.7,85.5,43.8,10.9,58.5,20.3,8.7,1866,121.2
36.0,30.2,62.6,68.9,88.0,41.9,8.6,61.7,19.2,6.1,2859,188.2
46.2,30.4,65.1,58.5,86.7,47.3,10.7,63.3,23.1,6.7,3576,249.1
37.8,23.1,64.7,46.9,83.1,58.6,11.4,63.2,24.7,5.6,3044,217
48.7,28.9,62.3,67.0,87.1,43.1,8.9,57.7,20.1,8.5,3355,210
47.5,36.4,57.1,77.3,90.9,45.4,6.9,64.6,16.7,4.2,3195,216.1
54.5,23.8,65.5,40.1,87.8,54.4,10.9,63.8,22.4,5.4,3395,241.2
41.0,29.5,62.7,50.6,83.2,42.1,12.9,57.3,32.9,9.5,3451,209.2
44.6,20.8,66.1,59.4,87.5,52.3,8.3,53.1,15.4,9.8,1766,114.1
64.1,26.7,66.0,69.0,91.1,45.1,7.1,54.2,15.1,8.0,3339,228.2
55.1,28.4,66.0,69.9,86.8,52.1,8.5,59.3,14.6,5.9,2611,174.1
63.9,27.2,63.5,38.4,84.9,48.6,13.3,59.7,22.9,9.1,2828,180.2
49.4,31.3,64.7,79.9,92.4,46.6,5.6,62.7,17.3,4.8,1578,110.2
40.6,30.3,59.6,59.0,85.9,47.3,10.5,60.2,23.4,8.3,2860,173.2
48.8,20.0,61.8,56.9,89.8,55.1,7.4,64.2,18.2,6.2,2281,148.1
41.4,29.9,63.2,69.6,87.9,47.3,8.4,65.0,17.3,4.9,2999,198.2
40.5,30.4,64.2,73.4,90.3,45.3,7.2,68.6,16.6,4.4,3127,211
46.0,20.4,69.9,52.4,90.0,55.4,8.2,62.0,18.3,6.5,2964,192
40.2,32.3,62.6,48.7,81.8,45.1,14.2,60.9,34.3,7.5,2940,182.1
56.2,36.3,61.6,64.6,89.0,36.7,10.6,59.3,21.9,6.9,2611,166.1
44.3,34.1,62.5,68.6,86.8,52.8,9.4,68.5,25.3,3.7,3253,222.2
41.7,29.2,66.4,53.2,82.9,47.3,12.6,66.9,27.2,5.0,3315,219.1
39.4,33.1,72.0,54.7,81.9,53.4,13.9,69.1,26.2,5.0,3335,231.2
38.6,29.0,68.1,70.1,86.9,49.1,8.8,63.8,22.0,6.1,3424,222
42.5,28.0,62.1,60.5,85.7,44.3,10.1,61.7,22.5,8.2,1909,115.2
44.0,26.0,66.9,47.5,82.5,53.4,12.6,61.2,26.6,6.2,3157,203
48.8,28.2,62.0,62.6,87.0,43.8,9.3,56.5,23.9,10.3,3600,221.2
41.7,32.7,68.3,68.8,88.2,40.2,9.3,61.0,19.7,7.0,3488,221.2
40.3,29.7,63.0,46.1,81.0,43.8,14.2,59.9,32.8,10.7,2715,162
48.2,28.9,62.9,69.3,83.8,42.1,9.4,59.0,25.2,9.3,3198,199.1
40.2,25.4,61.9,54.3,87.2,48.6,9.8,63.4,22.2,8.8,1986,127.2
40.1,32.5,66.3,64.9,85.3,45.1,10.7,61.4,22.8,6.8,2994,193
34.8,32.7,69.7,65.4,85.1,45.7,10.9,60.3,21.0,5.8,3271,221
39.0,26.5,68.2,62.4,87.3,51.6,9.2,61.2,19.3,8.2,3362,217.2
36.3,30.1,67.1,62.0,80.6,45.6,12.2,64.5,28.7,6.7,3388,214.1
38.7,36.2,65.6,55.7,79.2,46.7,14.9,66.8,36.2,5.1,3428,214.1
38.6,20.4,66.4,54.5,84.0,50.5,10.0,59.8,21.5,13.1,2904,167.2
46.4,25.8,65.8,56.8,87.6,52.8,9.7,62.2,22.5,6.1,3503,226.1
66.8,32.6,66.1,63.6,86.0,37.0,10.9,60.5,21.4,8.1,2194,145.2
40.1,26.3,61.7,61.9,82.9,50.0,10.1,60.1,25.0,9.6,3390,204.1
54.7,31.2,65.1,62.5,89.2,41.8,9.7,57.9,19.4,8.7,3374,225
34.3,29.2,62.9,66.4,83.9,44.2,9.9,57.6,28.6,10.2,1816,104.2
44.7,33.0,64.5,60.1,86.4,44.2,11.2,62.0,25.3,6.7,2965,184.2
63.5,31.9,62.2,64.8,90.9,40.3,9.0,65.4,18.1,5.9,3020,200
41.7,34.8,69.1,56.4,86.7,44.8,12.5,64.2,26.9,4.5,3312,218.1
38.4,20.3,67.9,70.3,85.5,51.9,8.0,57.5,17.4,8.2,2645,166
46.1,19.7,67.6,62.1,86.3,56.1,8.4,61.3,15.4,7.3,3553,233.1
59.7,20.1,69.6,51.7,86.7,57.9,9.5,60.1,16.9,6.2,3509,239.1
49.3,29.4,56.6,63.6,89.8,45.8,8.4,58.5,22.5,8.1,3592,223.1
49.1,16.9,69.2,51.7,87.1,61.4,8.6,63.3,18.4,4.8,3600,241.2
49.1,35.6,63.1,66.0,89.6,44.5,9.6,64.5,22.9,3.7,3533,241.2
43.4,33.6,65.4,71.5,89.5,47.2,8.3,69.2,19.0,5.3,3089,195.2
41.5,30.6,69.7,43.8,83.8,55.5,14.0,69.0,28.8,4.8,2452,168
35.0,27.7,68.6,69.4,83.3,44.7,9.7,60.2,15.1,9.3,2954,189
45.8,28.1,61.2,68.4,85.9,41.4,8.8,55.3,22.7,9.6,3364,201
33.0,34.7,69.4,53.7,79.0,48.2,15.3,65.1,31.5,6.2,3563,228.1
41.1,26.9,65.3,62.3,88.1,46.4,9.0,59.9,21.4,8.1,1970,124.2
48.1,30.8,67.5,71.0,87.7,37.5,8.7,60.7,20.4,8.8,2473,152
42.0,30.3,65.8,75.7,88.2,43.9,7.4,60.6,14.4,7.0,2287,152
48.1,28.0,64.5,49.8,85.9,48.7,11.6,57.8,21.9,8.9,3341,206.2
40.1,13.8,68.4,60.6,87.0,53.3,7.3,54.9,13.6,8.3,3597,224.2
46.3,21.3,70.1,50.3,85.5,56.3,10.4,65.0,21.0,5.6,1923,127.1
56.0,24.6,59.4,70.5,92.2,45.1,6.0,56.7,15.1,8.1,3038,196.2
48.8,23.6,67.3,57.4,90.0,58.5,8.1,65.2,18.5,4.2,3255,220.2
44.9,29.8,67.0,55.4,82.5,49.3,12.5,64.9,28.3,6.7,2268,136
50.6,31.3,67.2,55.2,82.3,49.3,13.0,65.1,29.4,6.5,3082,193.1
