Name,GB%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,SwStr%,F-Strike%,K%,BB%,Pitches,IP
Jacob deGrom,44.5,38.3,69.2,58.6,80.2,44.4,14.9,67.2,31.2,5.5,2465,168
Chris Sale,45.3,36.5,62.9,53.8,76.5,44.6,15.9,68.6,38.7,5.8,2292,146
Blake Snell,43.8,32.3,65.7,53.1,81.7,38.9,13.9,55.5,29.4,9.4,2246,139
Max Scherzer,36.3,36.0,70.5,53.0,78.1,47.5,16.2,67.9,34.5,6.0,2764,174.2
Wade Miley,50.0,32.5,62.8,68.8,86.8,37.5,9.5,56.7,15.5,10.7,709,45.1
Trevor Bauer,44.2,31.5,63.1,51.2,84.5,41.8,13.0,63.8,31.5,8.2,2708,166
Aaron Nola,50.5,33.0,64.9,62.1,83.2,44.2,11.8,71.6,25.4,7.0,2449,161
Clay Buchholz,41.9,31.8,68.3,65.6,88.3,46.2,9.6,68.3,21.3,5.0,1141,80
Dereck Rodriguez,40.8,30.8,63.5,68.7,90.6,43.0,8.1,56.7,19.9,5.5,1127,73.2
Clayton Kershaw,49.7,33.1,72.0,60.1,87.0,46.7,11.4,70.4,24.9,4.3,1716,116.1
Walker Buehler,50.0,30.5,66.8,66.1,86.6,48.0,9.7,64.3,27.8,6.0,1469,93.1
Justin Verlander,29.6,33.4,69.0,59.6,79.8,48.0,13.7,67.3,33.5,4.4,2727,169.2
Carlos Rodon,40.4,28.2,70.8,61.9,88.9,43.0,9.5,59.4,20.0,9.3,1338,86.1
Mike Foltynewicz,42.6,26.6,63.2,61.1,83.7,44.3,10.3,60.8,28.2,9.4,2393,139
Gerrit Cole,35.8,31.7,69.2,56.2,80.5,46.7,13.7,64.1,34.7,8.0,2664,164.2
Corey Kluber,44.8,34.4,66.2,59.4,89.7,43.6,10.8,62.2,24.6,3.4,2529,174.1
Miles Mikolas,50.4,35.3,68.1,71.6,88.8,47.9,8.9,70.4,17.3,4.1,2318,157.1
Ross Stripling,47.7,32.9,65.5,62.7,86.4,45.2,10.8,69.7,27.2,2.9,1486,94.2
Kyle Freeland,48.1,30.8,67.5,71.0,87.7,37.5,8.7,60.7,20.4,8.8,2473,152
Jack Flaherty,42.9,30.2,67.1,53.0,81.5,42.1,13.4,56.9,31.0,8.8,1976,115.1
Edwin Jackson,36.2,29.5,73.2,65.7,91.7,40.9,8.5,54.6,17.3,8.5,1004,63.2
Madison Bumgarner,42.0,32.2,65.4,63.6,90.7,41.8,9.4,63.4,20.0,9.3,1376,85.2
Charlie Morton,48.3,29.4,63.2,54.8,82.7,44.3,12.2,60.0,29.7,9.3,2377,147.1
Zack Greinke,43.7,34.6,62.1,66.4,83.5,38.3,11.1,66.4,25.5,4.9,2528,162
Mike Montgomery,48.9,30.6,61.7,68.8,87.4,44.4,8.8,64.1,14.6,6.8,1128,73
Shohei Ohtani,38.1,27.6,66.0,39.7,78.2,43.2,15.7,54.5,30.5,10.0,804,49.1
Trevor Cahill,53.4,31.0,64.1,52.4,83.4,40.3,13.1,56.4,24.9,7.3,1376,86.2
Patrick Corbin,48.4,36.9,64.8,52.7,83.6,35.0,15.1,63.1,30.8,6.1,2529,161.2
