,0,1,2
0,Jacob deGrom,14.672619047619047,15.045893
1,Chris Sale,15.698630136986301,15.447486
2,Blake Snell,16.158273381294965,16.689564
3,Max Scherzer,15.866819747416763,15.452723
4,Wade Miley,15.720620842572062,16.459673
5,Trevor Bauer,16.313253012048193,16.540846
6,Aaron Nola,15.211180124223603,15.418959
7,Clay Buchholz,14.2625,15.377674
8,Dereck Rodriguez,15.396174863387978,16.00985
9,Clayton Kershaw,14.780361757105943,14.7663965
10,Walker Buehler,15.77873254564984,15.486244
11,Justin Verlander,16.117021276595747,15.73814
12,Carlos Rodon,15.540069686411151,16.692406
13,Mike Foltynewicz,17.215827338129497,16.932533
14,Gerrit Cole,16.224116930572475,16.443602
15,Corey Kluber,14.526134405514073,15.143012
16,Miles Mikolas,14.75493316359007,14.260524
17,Ross Stripling,15.774946921443735,14.953166
18,Kyle Freeland,16.269736842105264,16.614094
19,Jack Flaherty,17.167680278019116,16.577309
20,Edwin Jackson,15.886075949367088,16.796593
21,Madison Bumgarner,16.150234741784036,16.587408
22,Charlie Morton,16.159075458871516,16.370703
23,Zack Greinke,15.604938271604938,15.77024
24,Mike Montgomery,15.452054794520548,15.359175
25,Shohei Ohtani,16.374745417515275,16.755325
26,Trevor Cahill,15.962877030162412,15.687223
27,Patrick Corbin,15.688585607940448,16.036966
28,Michael Wacha,16.87277051129608,16.684647
29,Mike Fiers,15.477753464624362,15.560805
30,Johnny Cueto,14.981132075471699,15.940856
31,Anibal Sanchez,15.509554140127388,16.22275
32,Jake Arrieta,15.590152063721941,15.549356
33,Mike Clevinger,16.202290076335878,16.1296
34,Luis Severino,16.310496543054683,15.386572
35,Joe Musgrove,13.942528735632184,14.293269
36,CC Sabathia,16.658270361041144,16.064754
37,Noah Syndergaard,16.045197740112993,14.977949
38,Carlos Martinez,16.833166833166835,16.172235
39,Jaime Barria,16.62551440329218,15.833162
40,Eduardo Rodriguez,17.93666026871401,16.317186
41,Trevor Williams,15.911764705882353,16.452883
42,Brett Anderson,14.396135265700483,14.74553
43,Jeremy Hellickson,14.982973893303067,15.196395
44,Carlos Carrasco,15.493150684931507,15.257042
45,Jameson Taillon,15.5,15.259248
46,Jhoulys Chacin,15.701986754966887,16.576542
47,Dallas Keuchel,16.335830212234708,15.469472
48,Alex Wood,16.010598031794096,15.540678
49,Zack Wheeler,16.338124572210816,15.7892065
50,Kyle Gibson,16.54235145385588,16.83063
51,Brian Johnson,16.21153846153846,17.017504
52,Jon Lester,17.21232876712329,16.945833
53,Garrett Richards,17.25361366622865,16.705282
54,James Paxton,16.161035226455787,15.468227
55,Jose Berrios,15.70164348925411,16.000072
56,Brad Keller,16.05128205128205,16.28703
57,David Price,15.549255846917081,16.119146
58,Sean Manaea,14.845360824742269,14.696956
59,Junior Guerra,16.367127496159757,16.45676
60,Sean Newcomb,17.548148148148147,17.010345
61,Frankie Montas,15.419580419580418,15.847204
62,Rich Hill,16.274944567627493,16.472057
63,Tyler Skaggs,17.203098106712563,15.786387
64,Joey Lucchesi,16.919739696312362,16.449314
65,Nathan Eovaldi,15.388235294117647,14.213903
